discontinued_n,started_n,completed_n,rate_vs_trial_start,base_rate,size_factor_log1p_started,recency_decay,evidence_quality,enrollment_count,num_countries,total_sites,reason,period_title,arm_id,search_condition,sponsor_class,actual_target,predicted_target,absolute_error
18.0,787.0,696.0,0.022872,0.022872,6.669498,0.579829,1.0,787.0,16.0,170.0,At the Participant's own Request,Overall Study,FG000,diabetes type 2,INDUSTRY,0.08844983,0.08870783609431557,0.0002580060943155743
10.0,787.0,696.0,0.012706,0.012706,6.669498,0.579829,1.0,787.0,16.0,170.0,At the Participant's own Request,Overall Study,FG001,diabetes type 2,INDUSTRY,0.04913622,0.049281018426109616,0.0001447984261096144
15.0,787.0,696.0,0.01906,0.01906,6.669498,0.579829,1.0,787.0,16.0,170.0,At the Participant's own Request,Overall Study,FG002,diabetes type 2,INDUSTRY,0.07370819,0.07512015794787695,0.0014119679478769437
8.0,787.0,696.0,0.010165,0.010165,6.669498,0.579829,1.0,787.0,16.0,170.0,Adverse Event,Overall Study,FG000,diabetes type 2,INDUSTRY,0.03930975,0.0404974219390476,0.0011876719390476048
6.0,787.0,696.0,0.007624,0.007624,6.669498,0.579829,1.0,787.0,16.0,170.0,Adverse Event,Overall Study,FG001,diabetes type 2,INDUSTRY,0.02948328,0.029780952380654754,0.00029767238065475307
9.0,787.0,696.0,0.011436,0.011436,6.669498,0.579829,1.0,787.0,16.0,170.0,Adverse Event,Overall Study,FG002,diabetes type 2,INDUSTRY,0.04422491,0.04421293072402621,1.1979275973787729e-05
0.0,787.0,696.0,0.0,0.0,6.669498,0.579829,1.0,787.0,16.0,170.0,Poor Compliance to Protocol,Overall Study,FG000,diabetes type 2,INDUSTRY,0.0,0.0,0.0
2.0,787.0,696.0,0.002541,0.002541,6.669498,0.579829,1.0,787.0,16.0,170.0,Poor Compliance to Protocol,Overall Study,FG001,diabetes type 2,INDUSTRY,0.00982647,0.009895002669226176,6.853266922617583e-05
3.0,787.0,696.0,0.003812,0.003812,6.669498,0.579829,1.0,787.0,16.0,170.0,Poor Compliance to Protocol,Overall Study,FG002,diabetes type 2,INDUSTRY,0.01474164,0.01496160079258929,0.00021996079258928929
1.0,787.0,696.0,0.001271,0.001271,6.669498,0.579829,1.0,787.0,16.0,170.0,Study Terminated by Sponsor,Overall Study,FG000,diabetes type 2,INDUSTRY,0.00491517,0.004950623188511927,3.545318851192695e-05
0.0,787.0,696.0,0.0,0.0,6.669498,0.579829,1.0,787.0,16.0,170.0,Study Terminated by Sponsor,Overall Study,FG001,diabetes type 2,INDUSTRY,0.0,0.0,0.0
0.0,787.0,696.0,0.0,0.0,6.669498,0.579829,1.0,787.0,16.0,170.0,Study Terminated by Sponsor,Overall Study,FG002,diabetes type 2,INDUSTRY,0.0,0.0,0.0
4.0,787.0,696.0,0.005083,0.005083,6.669498,0.579829,1.0,787.0,16.0,170.0,Reason not Specified,Overall Study,FG000,diabetes type 2,INDUSTRY,0.01965681,0.019851807111867768,0.00019499711186776736
4.0,787.0,696.0,0.005083,0.005083,6.669498,0.579829,1.0,787.0,16.0,170.0,Reason not Specified,Overall Study,FG001,diabetes type 2,INDUSTRY,0.01965681,0.019835229699010616,0.00017841969901061586
1.0,787.0,696.0,0.001271,0.001271,6.669498,0.579829,1.0,787.0,16.0,170.0,Reason not Specified,Overall Study,FG002,diabetes type 2,INDUSTRY,0.00491517,0.004956369032440497,4.119903244049691e-05
5.0,787.0,696.0,0.006353,0.006353,6.669498,0.579829,1.0,787.0,16.0,170.0,Lost to Follow-up,Overall Study,FG000,diabetes type 2,INDUSTRY,0.02456811,0.024619396138968273,5.1286138968272e-05
1.0,787.0,696.0,0.001271,0.001271,6.669498,0.579829,1.0,787.0,16.0,170.0,Lost to Follow-up,Overall Study,FG001,diabetes type 2,INDUSTRY,0.00491517,0.0049616077703174815,4.6437770317481544e-05
